"areacd","year","value"
"E06000001","2020",16627
"E06000002","2020",16496
"E06000003","2020",17095
"E06000004","2020",17892
"E06000005","2020",18114
"E06000006","2020",18166
"E06000007","2020",21441
"E06000008","2020",14948
"E06000009","2020",17008
"E06000010","2020",15329
"E06000011","2020",20357
"E06000012","2020",17210
"E06000013","2020",17302
"E06000014","2020",20116
"E06000015","2020",17171
"E06000016","2020",14266
"E06000017","2020",25552
"E06000018","2020",13952
"E06000019","2020",20690
"E06000020","2020",17633
"E06000021","2020",15799
"E06000022","2020",22599
"E06000023","2020",20523
"E06000024","2020",22758
"E06000025","2020",21737
"E06000026","2020",17671
"E06000027","2020",18765
"E06000030","2020",20549
"E06000031","2020",18606
"E06000032","2020",17430
"E06000033","2020",21165
"E06000034","2020",20167
"E06000035","2020",19988
"E06000036","2020",23905
"E06000037","2020",27540
"E06000038","2020",23754
"E06000039","2020",19632
"E06000040","2020",32768
"E06000041","2020",27717
"E06000042","2020",22371
"E06000043","2020",22750
"E06000044","2020",17337
"E06000045","2020",17548
"E06000046","2020",19142
"E06000047","2020",16824
"E06000049","2020",25192
"E06000050","2020",22331
"E06000051","2020",20576
"E06000052","2020",19180
"E06000053","2020",23228
"E06000054","2020",22987
"E06000055","2020",22285
"E06000056","2020",22220
"E06000057","2020",20285
"E06000058","2020",21539
"E06000059","2020",22657
"E06000060","2020",28487
"E06000061","2020",20022
"E06000062","2020",22354
"E07000008","2020",26184
"E07000009","2020",22340
"E07000010","2020",18792
"E07000011","2020",22231
"E07000012","2020",26615
"E07000026","2020",19206
"E07000027","2020",18202
"E07000028","2020",18524
"E07000029","2020",19327
"E07000030","2020",21250
"E07000031","2020",24303
"E07000032","2020",19423
"E07000033","2020",16135
"E07000034","2020",17614
"E07000035","2020",25080
"E07000036","2020",18498
"E07000037","2020",19695
"E07000038","2020",19225
"E07000039","2020",19399
"E07000040","2020",21980
"E07000041","2020",17574
"E07000042","2020",19998
"E07000043","2020",20094
"E07000044","2020",24994
"E07000045","2020",20982
"E07000046","2020",18200
"E07000047","2020",21837
"E07000061","2020",19941
"E07000062","2020",18658
"E07000063","2020",23757
"E07000064","2020",22776
"E07000065","2020",24538
"E07000066","2020",21716
"E07000067","2020",22402
"E07000068","2020",29853
"E07000069","2020",21538
"E07000070","2020",25067
"E07000071","2020",19752
"E07000072","2020",29975
"E07000073","2020",19961
"E07000074","2020",22804
"E07000075","2020",22885
"E07000076","2020",19216
"E07000077","2020",27562
"E07000078","2020",22719
"E07000079","2020",30536
"E07000080","2020",19550
"E07000081","2020",18443
"E07000082","2020",23054
"E07000083","2020",21122
"E07000084","2020",25773
"E07000085","2020",27409
"E07000086","2020",22217
"E07000087","2020",22820
"E07000088","2020",18792
"E07000089","2020",28888
"E07000090","2020",20776
"E07000091","2020",24645
"E07000092","2020",21608
"E07000093","2020",25404
"E07000094","2020",28125
"E07000095","2020",23222
"E07000096","2020",25044
"E07000098","2020",30288
"E07000099","2020",26083
"E07000102","2020",29615
"E07000103","2020",23901
"E07000105","2020",21885
"E07000106","2020",18950
"E07000107","2020",21261
"E07000108","2020",20173
"E07000109","2020",21065
"E07000110","2020",23047
"E07000111","2020",30816
"E07000112","2020",20727
"E07000113","2020",20592
"E07000114","2020",19524
"E07000115","2020",24780
"E07000116","2020",28187
"E07000117","2020",16068
"E07000118","2020",19811
"E07000119","2020",22857
"E07000120","2020",15987
"E07000121","2020",16484
"E07000122","2020",16274
"E07000123","2020",17036
"E07000124","2020",24411
"E07000125","2020",17939
"E07000126","2020",19537
"E07000127","2020",20437
"E07000128","2020",19960
"E07000129","2020",19474
"E07000130","2020",18533
"E07000131","2020",24853
"E07000132","2020",19858
"E07000133","2020",21397
"E07000134","2020",19831
"E07000135","2020",18812
"E07000136","2020",18448
"E07000137","2020",18853
"E07000138","2020",16004
"E07000139","2020",19312
"E07000140","2020",17605
"E07000141","2020",21467
"E07000142","2020",19691
"E07000143","2020",18678
"E07000144","2020",20789
"E07000145","2020",16627
"E07000146","2020",19547
"E07000147","2020",20957
"E07000148","2020",17078
"E07000149","2020",20520
"E07000163","2020",21143
"E07000164","2020",23459
"E07000165","2020",26466
"E07000166","2020",19701
"E07000167","2020",21795
"E07000168","2020",19697
"E07000169","2020",20971
"E07000170","2020",16437
"E07000171","2020",18632
"E07000172","2020",17967
"E07000173","2020",19806
"E07000174","2020",17497
"E07000175","2020",20428
"E07000176","2020",23260
"E07000177","2020",24409
"E07000178","2020",22487
"E07000179","2020",30181
"E07000180","2020",25717
"E07000181","2020",26690
"E07000187","2020",21833
"E07000188","2020",20320
"E07000189","2020",21097
"E07000192","2020",17154
"E07000193","2020",19508
"E07000194","2020",22796
"E07000195","2020",17754
"E07000196","2020",21146
"E07000197","2020",20810
"E07000198","2020",19214
"E07000199","2020",17910
"E07000200","2020",21764
"E07000202","2020",17697
"E07000203","2020",20626
"E07000207","2020",40710
"E07000208","2020",27999
"E07000209","2020",28519
"E07000210","2020",33870
"E07000211","2020",28909
"E07000212","2020",25669
"E07000213","2020",26788
"E07000214","2020",30266
"E07000215","2020",29371
"E07000216","2020",32525
"E07000217","2020",29124
"E07000218","2020",18938
"E07000219","2020",18044
"E07000220","2020",20671
"E07000221","2020",27839
"E07000222","2020",25089
"E07000223","2020",20055
"E07000224","2020",21716
"E07000225","2020",27604
"E07000226","2020",20533
"E07000227","2020",27614
"E07000228","2020",26666
"E07000229","2020",21783
"E07000234","2020",23583
"E07000235","2020",23857
"E07000236","2020",19392
"E07000237","2020",19043
"E07000238","2020",23411
"E07000239","2020",19519
"E07000240","2020",32047
"E07000241","2020",22491
"E07000242","2020",27366
"E07000243","2020",19913
"E07000244","2020",20504
"E07000245","2020",20527
"E07000246","2020",19977
"E08000001","2020",17538
"E08000002","2020",19235
"E08000003","2020",15882
"E08000004","2020",16351
"E08000005","2020",16567
"E08000006","2020",18356
"E08000007","2020",21737
"E08000008","2020",17756
"E08000009","2020",24074
"E08000010","2020",17020
"E08000011","2020",17471
"E08000012","2020",16069
"E08000013","2020",18089
"E08000014","2020",19556
"E08000015","2020",19272
"E08000016","2020",17448
"E08000017","2020",17140
"E08000018","2020",17255
"E08000019","2020",16143
"E08000021","2020",16767
"E08000022","2020",18531
"E08000023","2020",16575
"E08000024","2020",16293
"E08000025","2020",15849
"E08000026","2020",15296
"E08000027","2020",17003
"E08000028","2020",14956
"E08000029","2020",23566
"E08000030","2020",15731
"E08000031","2020",15911
"E08000032","2020",15709
"E08000033","2020",18639
"E08000034","2020",17139
"E08000035","2020",19086
"E08000036","2020",17572
"E08000037","2020",16777
"E09000001","2020",147813
"E09000002","2020",19265
"E09000003","2020",30460
"E09000004","2020",23758
"E09000005","2020",26438
"E09000006","2020",29854
"E09000007","2020",41810
"E09000008","2020",24636
"E09000009","2020",28337
"E09000010","2020",24188
"E09000011","2020",24761
"E09000012","2020",25952
"E09000013","2020",43998
"E09000014","2020",30099
"E09000015","2020",27854
"E09000016","2020",24055
"E09000017","2020",23621
"E09000018","2020",26951
"E09000019","2020",32756
"E09000020","2020",79325
"E09000021","2020",26963
"E09000022","2020",30386
"E09000023","2020",24991
"E09000024","2020",34102
"E09000025","2020",20102
"E09000026","2020",23865
"E09000027","2020",43037
"E09000028","2020",27878
"E09000029","2020",25227
"E09000030","2020",26175
"E09000031","2020",25486
"E09000032","2020",40793
"E09000033","2020",48382
"E10000003","2020",NA
"E10000006","2020",NA
"E10000007","2020",NA
"E10000008","2020",NA
"E10000011","2020",NA
"E10000012","2020",NA
"E10000013","2020",NA
"E10000014","2020",NA
"E10000015","2020",NA
"E10000016","2020",NA
"E10000017","2020",NA
"E10000018","2020",NA
"E10000019","2020",NA
"E10000020","2020",NA
"E10000023","2020",NA
"E10000024","2020",NA
"E10000025","2020",NA
"E10000027","2020",NA
"E10000028","2020",NA
"E10000029","2020",NA
"E10000030","2020",NA
"E10000031","2020",NA
"E10000032","2020",NA
"E10000034","2020",NA
"E12000001","2020",17416
"E12000002","2020",18900
"E12000003","2020",18119
"E12000004","2020",18844
"E12000005","2020",18363
"E12000006","2020",22310
"E12000007","2020",29890
"E12000008","2020",24551
"E12000009","2020",21117
"E92000001","2020",21962
"K02000001","2020",21440
"N09000001","2020",18102
"N09000002","2020",16666
"N09000003","2020",16744
"N09000004","2020",17127
"N09000005","2020",15470
"N09000006","2020",16395
"N09000007","2020",19795
"N09000008","2020",18022
"N09000009","2020",17154
"N09000010","2020",16657
"N09000011","2020",19120
"N92000002","2020",17301
"S12000005","2020",20569
"S12000006","2020",18781
"S12000008","2020",17681
"S12000010","2020",23372
"S12000011","2020",23560
"S12000013","2020",19173
"S12000014","2020",19309
"S12000017","2020",20154
"S12000018","2020",19079
"S12000019","2020",20228
"S12000020","2020",18827
"S12000021","2020",17879
"S12000023","2020",19159
"S12000026","2020",20289
"S12000027","2020",21395
"S12000028","2020",19488
"S12000029","2020",19752
"S12000030","2020",21202
"S12000033","2020",20792
"S12000034","2020",22730
"S12000035","2020",20422
"S12000036","2020",23001
"S12000038","2020",19354
"S12000039","2020",17937
"S12000040","2020",18990
"S12000041","2020",19777
"S12000042","2020",16686
"S12000045","2020",23961
"S12000047","2020",18369
"S12000048","2020",21636
"S12000049","2020",16543
"S12000050","2020",17831
"S92000003","2020",19706
"W06000001","2020",17778
"W06000002","2020",16007
"W06000003","2020",18336
"W06000004","2020",17607
"W06000005","2020",19295
"W06000006","2020",17804
"W06000008","2020",17073
"W06000009","2020",17594
"W06000010","2020",17349
"W06000011","2020",16919
"W06000012","2020",17163
"W06000013","2020",17134
"W06000014","2020",20913
"W06000015","2020",17673
"W06000016","2020",16313
"W06000018","2020",16572
"W06000019","2020",14478
"W06000020","2020",16852
"W06000021","2020",22321
"W06000022","2020",17655
"W06000023","2020",18642
"W06000024","2020",15675
"W92000004","2020",17592
