"areacd","year","value"
"E06000001","2020",93836
"E06000002","2020",141285
"E06000003","2020",137228
"E06000004","2020",197419
"E06000005","2020",107402
"E06000006","2020",129759
"E06000007","2020",209397
"E06000008","2020",150030
"E06000009","2020",138381
"E06000010","2020",259126
"E06000011","2020",343201
"E06000012","2020",159364
"E06000013","2020",172748
"E06000014","2020",211012
"E06000015","2020",256814
"E06000016","2020",354036
"E06000017","2020",40476
"E06000018","2020",337098
"E06000019","2020",193615
"E06000020","2020",181322
"E06000021","2020",256622
"E06000022","2020",196357
"E06000023","2020",465866
"E06000024","2020",215574
"E06000025","2020",287816
"E06000026","2020",262839
"E06000027","2020",136218
"E06000030","2020",222881
"E06000031","2020",202626
"E06000032","2020",213528
"E06000033","2020",182773
"E06000034","2020",175531
"E06000035","2020",279142
"E06000036","2020",124165
"E06000037","2020",158465
"E06000038","2020",160337
"E06000039","2020",149577
"E06000040","2020",151273
"E06000041","2020",173945
"E06000042","2020",270203
"E06000043","2020",291738
"E06000044","2020",214692
"E06000045","2020",252872
"E06000046","2020",142296
"E06000047","2020",533149
"E06000049","2020",386667
"E06000050","2020",343823
"E06000051","2020",325415
"E06000052","2020",573299
"E06000053","2020",2226
"E06000054","2020",504070
"E06000055","2020",174687
"E06000056","2020",294096
"E06000057","2020",323820
"E06000058","2020",396989
"E06000059","2020",379791
"E06000060","2020",547060
"E06000061","2020",NA
"E06000062","2020",NA
"E07000008","2020",125063
"E07000009","2020",90172
"E07000010","2020",102080
"E07000011","2020",178985
"E07000012","2020",160904
"E07000026","2020",97831
"E07000027","2020",66726
"E07000028","2020",108524
"E07000029","2020",68041
"E07000030","2020",53754
"E07000031","2020",104905
"E07000032","2020",128829
"E07000033","2020",81305
"E07000034","2020",104930
"E07000035","2020",72422
"E07000036","2020",115332
"E07000037","2020",92633
"E07000038","2020",102216
"E07000039","2020",109516
"E07000040","2020",148080
"E07000041","2020",133333
"E07000042","2020",83290
"E07000043","2020",98170
"E07000044","2020",87946
"E07000045","2020",135039
"E07000046","2020",68719
"E07000047","2020",56139
"E07000061","2020",103324
"E07000062","2020",92554
"E07000063","2020",103525
"E07000064","2020",96716
"E07000065","2020",162733
"E07000066","2020",187558
"E07000067","2020",153091
"E07000068","2020",77242
"E07000069","2020",90524
"E07000070","2020",179549
"E07000071","2020",197200
"E07000072","2020",132175
"E07000073","2020",87280
"E07000074","2020",65401
"E07000075","2020",87627
"E07000076","2020",147353
"E07000077","2020",92759
"E07000078","2020",116043
"E07000079","2020",90264
"E07000080","2020",87107
"E07000081","2020",129709
"E07000082","2020",120903
"E07000083","2020",96624
"E07000084","2020",177760
"E07000085","2020",123838
"E07000086","2020",135520
"E07000087","2020",116338
"E07000088","2020",84679
"E07000089","2020",97608
"E07000090","2020",126339
"E07000091","2020",179649
"E07000092","2020",94387
"E07000093","2020",127163
"E07000094","2020",125925
"E07000095","2020",97592
"E07000096","2020",155457
"E07000098","2020",105471
"E07000099","2020",133463
"E07000102","2020",93966
"E07000103","2020",96623
"E07000105","2020",131018
"E07000106","2020",166762
"E07000107","2020",114051
"E07000108","2020",118514
"E07000109","2020",106890
"E07000110","2020",173132
"E07000111","2020",121387
"E07000112","2020",113320
"E07000113","2020",151015
"E07000114","2020",141458
"E07000115","2020",132571
"E07000116","2020",118939
"E07000117","2020",89344
"E07000118","2020",118870
"E07000119","2020",81211
"E07000120","2020",81133
"E07000121","2020",148119
"E07000122","2020",92145
"E07000123","2020",144147
"E07000124","2020",62026
"E07000125","2020",71432
"E07000126","2020",111086
"E07000127","2020",114496
"E07000128","2020",113067
"E07000129","2020",101950
"E07000130","2020",188416
"E07000131","2020",95537
"E07000132","2020",113666
"E07000133","2020",51394
"E07000134","2020",104809
"E07000135","2020",57313
"E07000136","2020",70837
"E07000137","2020",142030
"E07000138","2020",100049
"E07000139","2020",118149
"E07000140","2020",95857
"E07000141","2020",143225
"E07000142","2020",96186
"E07000143","2020",141255
"E07000144","2020",131931
"E07000145","2020",99198
"E07000146","2020",151245
"E07000147","2020",105167
"E07000148","2020",142177
"E07000149","2020",143066
"E07000163","2020",57338
"E07000164","2020",91932
"E07000165","2020",161545
"E07000166","2020",53732
"E07000167","2020",55629
"E07000168","2020",108737
"E07000169","2020",91697
"E07000170","2020",128337
"E07000171","2020",118280
"E07000172","2020",114627
"E07000173","2020",118239
"E07000174","2020",109351
"E07000175","2020",123127
"E07000176","2020",121416
"E07000177","2020",151846
"E07000178","2020",151584
"E07000179","2020",143782
"E07000180","2020",137910
"E07000181","2020",111758
"E07000187","2020",116288
"E07000188","2020",123446
"E07000189","2020",168696
"E07000192","2020",101484
"E07000193","2020",120923
"E07000194","2020",105637
"E07000195","2020",129610
"E07000196","2020",112369
"E07000197","2020",137858
"E07000198","2020",98427
"E07000199","2020",76864
"E07000200","2020",92735
"E07000202","2020",135979
"E07000203","2020",104857
"E07000207","2020",137215
"E07000208","2020",81003
"E07000209","2020",150352
"E07000210","2020",87547
"E07000211","2020",149243
"E07000212","2020",90327
"E07000213","2020",99873
"E07000214","2020",89204
"E07000215","2020",88542
"E07000216","2020",126556
"E07000217","2020",100008
"E07000218","2020",65452
"E07000219","2020",130373
"E07000220","2020",110650
"E07000221","2020",132402
"E07000222","2020",144909
"E07000223","2020",64187
"E07000224","2020",161123
"E07000225","2020",121508
"E07000226","2020",112474
"E07000227","2020",145474
"E07000228","2020",152142
"E07000229","2020",110727
"E07000234","2020",100569
"E07000235","2020",79445
"E07000236","2020",85568
"E07000237","2020",100265
"E07000238","2020",131084
"E07000239","2020",101139
"E07000240","2020",149317
"E07000241","2020",123893
"E07000242","2020",151786
"E07000243","2020",88104
"E07000244","2020",250373
"E07000245","2020",177302
"E07000246","2020",155421
"E08000001","2020",288248
"E08000002","2020",190708
"E08000003","2020",555741
"E08000004","2020",237628
"E08000005","2020",223659
"E08000006","2020",262697
"E08000007","2020",294197
"E08000008","2020",227117
"E08000009","2020",237579
"E08000010","2020",330712
"E08000011","2020",152452
"E08000012","2020",500474
"E08000013","2020",181095
"E08000014","2020",275899
"E08000015","2020",324336
"E08000016","2020",248071
"E08000017","2020",312785
"E08000018","2020",264984
"E08000019","2020",589214
"E08000021","2020",306824
"E08000022","2020",208871
"E08000023","2020",151133
"E08000024","2020",277846
"E08000025","2020",1140525
"E08000026","2020",379387
"E08000027","2020",322363
"E08000028","2020",329042
"E08000029","2020",217487
"E08000030","2020",286716
"E08000031","2020",264407
"E08000032","2020",542128
"E08000033","2020",211439
"E08000034","2020",441290
"E08000035","2020",798786
"E08000036","2020",351592
"E08000037","2020",201950
"E09000001","2020",10938
"E09000002","2020",214107
"E09000003","2020",399007
"E09000004","2020",249301
"E09000005","2020",327753
"E09000006","2020",332752
"E09000007","2020",279516
"E09000008","2020",388563
"E09000009","2020",340341
"E09000010","2020",333587
"E09000011","2020",289034
"E09000012","2020",280941
"E09000013","2020",183544
"E09000014","2020",266357
"E09000015","2020",252338
"E09000016","2020",260651
"E09000017","2020",309014
"E09000018","2020",271767
"E09000019","2020",248115
"E09000020","2020",156864
"E09000021","2020",179142
"E09000022","2020",321813
"E09000023","2020",305309
"E09000024","2020",206453
"E09000025","2020",355266
"E09000026","2020",305658
"E09000027","2020",198141
"E09000028","2020",320017
"E09000029","2020",207707
"E09000030","2020",331969
"E09000031","2020",276940
"E09000032","2020",329735
"E09000033","2020",269848
"E10000003","2020",657204
"E10000006","2020",499781
"E10000007","2020",807183
"E10000008","2020",810716
"E10000011","2020",558852
"E10000012","2020",1497759
"E10000013","2020",640650
"E10000014","2020",1389206
"E10000015","2020",1195672
"E10000016","2020",1589057
"E10000017","2020",1227076
"E10000018","2020",713085
"E10000019","2020",766333
"E10000020","2020",914039
"E10000023","2020",620610
"E10000024","2020",833377
"E10000025","2020",696880
"E10000027","2020",563851
"E10000028","2020",883172
"E10000029","2020",761246
"E10000030","2020",1199870
"E10000031","2020",583786
"E10000032","2020",867635
"E10000034","2020",598070
"E12000001","2020",2680763
"E12000002","2020",7367456
"E12000003","2020",5526350
"E12000004","2020",4865583
"E12000005","2020",5961929
"E12000006","2020",6269161
"E12000007","2020",9002488
"E12000008","2020",9217265
"E12000009","2020",5659143
"E92000001","2020",56550138
"K02000001","2020",67081234
"N09000001","2020",143756
"N09000002","2020",217232
"N09000003","2020",342560
"N09000004","2020",144943
"N09000005","2020",151109
"N09000006","2020",117337
"N09000007","2020",146452
"N09000008","2020",139443
"N09000009","2020",148953
"N09000010","2020",181669
"N09000011","2020",162056
"N92000002","2020",1895510
"S12000005","2020",51290
"S12000006","2020",148290
"S12000008","2020",121600
"S12000010","2020",107900
"S12000011","2020",96060
"S12000013","2020",26500
"S12000014","2020",160560
"S12000017","2020",235430
"S12000018","2020",77060
"S12000019","2020",93150
"S12000020","2020",95710
"S12000021","2020",134250
"S12000023","2020",22400
"S12000026","2020",115240
"S12000027","2020",22870
"S12000028","2020",112140
"S12000029","2020",320820
"S12000030","2020",94080
"S12000033","2020",229060
"S12000034","2020",260780
"S12000035","2020",85430
"S12000036","2020",527620
"S12000038","2020",179390
"S12000039","2020",88340
"S12000040","2020",183820
"S12000041","2020",115820
"S12000042","2020",148820
"S12000045","2020",108750
"S12000047","2020",374130
"S12000048","2020",151910
"S12000049","2020",635640
"S12000050","2020",341140
"S92000003","2020",5466000
"W06000001","2020",70440
"W06000002","2020",125171
"W06000003","2020",118184
"W06000004","2020",96664
"W06000005","2020",156847
"W06000006","2020",136055
"W06000008","2020",72895
"W06000009","2020",126751
"W06000010","2020",190073
"W06000011","2020",246563
"W06000012","2020",144386
"W06000013","2020",147539
"W06000014","2020",135295
"W06000015","2020",369202
"W06000016","2020",241873
"W06000018","2020",181731
"W06000019","2020",70020
"W06000020","2020",94832
"W06000021","2020",95164
"W06000022","2020",156447
"W06000023","2020",133030
"W06000024","2020",60424
"W92000004","2020",3169586
