"areacd","value","id","xDomainNumb"
"W06000005",64.25,25,4012
"E09000024",65.29,25,4012
"E08000009",64.67,25,4012
"E08000016",56.36,25,4012
"E12000006",65.89,25,4012
"E09000002",53.58,25,4012
"E08000013",61.59,25,4012
"E09000006",65.33,25,4012
"E06000030",62.46,25,4012
"W06000004",63.43,25,4012
"E06000037",68.79,25,4012
"E09000005",66.25,25,4012
"E09000026",62.61,25,4012
"E06000042",64.96,25,4012
"E06000009",58.62,25,4012
"E06000017",68.85,25,4012
"E08000033",62.23,25,4012
"E08000004",58.07,25,4012
"E09000016",65.96,25,4012
"E08000025",58.68,25,4012
"E12000009",65.13,25,4012
"E10000007",63.33,25,4012
"E06000016",56.96,25,4012
"E06000022",67.79,25,4012
"E12000001",59.91,25,4012
"W06000022",61.86,25,4012
"E08000010",61.16,25,4012
"E10000023",66.97,25,4012
"E06000019",66.4,25,4012
"E09000021",68.52,25,4012
"E08000023",58.7,25,4012
"E06000045",62.47,25,4012
"E09000032",65.32,25,4012
"E06000062",62,25,4012
"E06000031",59.89,25,4012
"E06000034",63.76,25,4012
"E08000021",59.67,25,4012
"E08000014",63.22,25,4012
"E08000035",62.02,25,4012
"E08000022",62.44,25,4012
"E09000033",63.71,25,4012
"E10000012",66.32,25,4012
"E09000028",57.93,25,4012
"E08000024",58.49,25,4012
"E08000029",67.58,25,4012
"E08000028",57.66,25,4012
"E09000010",66.73,25,4012
"K02000001",63.7,25,4012
"E09000023",61.87,25,4012
"E10000029",66.05,25,4012
"E10000014",66.68,25,4012
"W06000010",61.66,25,4012
"W06000021",67.27,25,4012
"W06000020",58.95,25,4012
"E10000027",64.18,25,4012
"E06000054",66.71,25,4012
"E08000015",60.69,25,4012
"E06000051",66.01,25,4012
"E08000001",61.41,25,4012
"S92000003",63.24,25,4012
"E12000007",63.85,25,4012
"E08000005",57.91,25,4012
"E10000031",67.51,25,4012
"W06000011",61.98,25,4012
"E06000008",59.68,25,4012
"E08000027",62.91,25,4012
"E08000032",60.91,25,4012
"E06000011",65.61,25,4012
"E09000020",69.21,25,4012
"W06000008",68.01,25,4012
"E09000004",65.46,25,4012
"E09000012",58.09,25,4012
"W06000014",65.19,25,4012
"E06000010",55.03,25,4012
"E06000055",65.92,25,4012
"E08000034",62.3,25,4012
"E06000044",62.47,25,4012
"E06000039",57.28,25,4012
"E09000013",61.67,25,4012
"E10000025",67.69,25,4012
"E10000003",67.56,25,4012
"W06000024",58.54,25,4012
"E10000008",66.17,25,4012
"E06000006",59.81,25,4012
"E10000013",66.37,25,4012
"W06000003",65.3,25,4012
"E08000002",60.41,25,4012
"E06000059",64.19,25,4012
"E08000003",54.21,25,4012
"E10000020",65.07,25,4012
"E10000024",62.54,25,4012
"E06000046",62.54,25,4012
"W92000004",62.51,25,4012
"E09000008",64.08,25,4012
"E06000002",61.06,25,4012
"E10000034",67.86,25,4012
"E06000027",63,25,4012
"E10000028",62.72,25,4012
"E06000024",65.35,25,4012
"E08000017",59.19,25,4012
"E92000001",63.85,25,4012
"E06000012",60.12,25,4012
"E10000032",68.95,25,4012
"E06000041",70.85,25,4012
"E06000047",57.61,25,4012
"E09000017",63.04,25,4012
"E06000049",66.22,25,4012
"E06000018",58.61,25,4012
"E09000014",60.47,25,4012
"E10000016",64.5,25,4012
"W06000018",58.03,25,4012
"E09000022",63.57,25,4012
"E12000002",61.71,25,4012
"W06000009",63.14,25,4012
"E06000035",61.8,25,4012
